,temperature,PCA-x,PCA-y,"k1, pred","k1, x","k1, y","k1, 45","k1, centx","k1, centy","k2, pred","k2, x","k2, y","k2, 45","k2, centx","k2, centy","k3, pred","k3, x","k3, y","k3, 45","k3, centx","k3, centy","k4, pred","k4, x","k4, y","k4, 45","k4, centx","k4, centy","k5, pred","k5, x","k5, y","k5, 45","k5, centx","k5, centy","k6, pred","k6, x","k6, y","k6, 45","k6, centx","k6, centy","k7, pred","k7, x","k7, y","k7, 45","k7, centx","k7, centy","k8, pred","k8, x","k8, y","k8, 45","k8, centx","k8, centy","k9, pred","k9, x","k9, y","k9, 45","k9, centx","k9, centy","k10, pred","k10, x","k10, y","k10, 45","k10, centx","k10, centy"
0,10,1,18.82175179218681,0,61.58214399714409,9.323533232423218,5.320963582935259,-1.9737298215558338e-14,-1.342136278657967e-14,0,61.58214399714409,9.323533232423218,5.320963582935259,45.70688112041135,5.729844460072707,1,61.58214399714409,9.323533232423218,5.320963582935259,-50.19513672194235,-4.975616095646549,0,61.58214399714409,9.323533232423218,5.320963582935259,35.00687635785053,1.3035564382426936,3,61.58214399714409,9.323533232423218,5.320963582935259,-63.13916167505495,-7.594720209421239,1,61.58214399714409,9.323533232423218,5.320963582935259,-84.13595063906949,28.716413142852993,5,61.58214399714409,9.323533232423218,5.320963582935259,40.19401390506157,3.0717791155598753,6,61.58214399714409,9.323533232423218,5.320963582935259,-73.99542841309459,-44.30200134909061,7,61.58214399714409,9.323533232423218,5.320963582935259,7.673782575722739,-8.890858228112881,3,61.58214399714409,9.323533232423218,5.320963582935259,-70.05534591448594,13.503634482131316
1,20,2,24.9800051626625,0,61.0368751465723,9.35612857270022,5.369143826397744,0.0,0.0,0,61.0368751465723,9.35612857270022,5.369143826397744,-51.084161252224504,-6.403943808316582,1,61.0368751465723,9.35612857270022,5.369143826397744,45.70688112041135,5.729844460072707,0,61.0368751465723,9.35612857270022,5.369143826397744,-68.60382719566083,-14.604164272225661,3,61.0368751465723,9.35612857270022,5.369143826397744,-83.60630139821544,5.525071378084299,1,61.0368751465723,9.35612857270022,5.369143826397744,58.36141658784743,9.03815814916178,5,61.0368751465723,9.35612857270022,5.369143826397744,-73.99542841309459,-44.30200134909061,6,61.0368751465723,9.35612857270022,5.369143826397744,-63.262901165721175,-9.062035535783542,7,61.0368751465723,9.35612857270022,5.369143826397744,-45.92382010561296,-43.41132762487075,3,61.0368751465723,9.35612857270022,5.369143826397744,-55.9816387459077,-46.0417180202289
2,30,3,30.606146213033522,0,60.69847632092634,9.789642418524439,4.748395358653197,0.0,0.0,0,60.69847632092634,9.789642418524439,4.748395358653197,0.0,0.0,1,60.69847632092634,9.789642418524439,4.748395358653197,-65.30855373673914,-29.25718721103713,0,60.69847632092634,9.789642418524439,4.748395358653197,-63.262901165721175,-9.062035535783542,3,60.69847632092634,9.789642418524439,4.748395358653197,-106.98116116415552,81.52827276365916,1,60.69847632092634,9.789642418524439,4.748395358653197,-46.070772035636665,-4.573162094579085,5,60.69847632092634,9.789642418524439,4.748395358653197,7.673782575722739,-8.890858228112881,6,60.69847632092634,9.789642418524439,4.748395358653197,-90.86385946608422,123.81832374021502,7,60.69847632092634,9.789642418524439,4.748395358653197,-5.409553422369076,-13.610497624959647,3,60.69847632092634,9.789642418524439,4.748395358653197,-106.98116116415552,81.52827276365916
3,40,4,35.6618859672419,0,59.554290772378444,9.491775622598817,4.644305454108323,0.0,0.0,0,59.554290772378444,9.491775622598817,4.644305454108323,0.0,0.0,1,59.554290772378444,9.491775622598817,4.644305454108323,0.0,0.0,0,59.554290772378444,9.491775622598817,4.644305454108323,-90.86385946608422,123.81832374021502,3,59.554290772378444,9.491775622598817,4.644305454108323,34.70147275212331,1.066714128839076,1,59.554290772378444,9.491775622598817,4.644305454108323,36.50358259863967,3.3237981407351977,5,59.554290772378444,9.491775622598817,4.644305454108323,1.6780629722766034,-13.959041454334084,6,59.554290772378444,9.491775622598817,4.644305454108323,23.235659894160516,-1.9904948642393285,7,59.554290772378444,9.491775622598817,4.644305454108323,-73.32481821320604,-1.6317759188552856,3,59.554290772378444,9.491775622598817,4.644305454108323,35.95758681844349,1.310227814705271
4,50,5,40.37733475303334,0,58.31198615998197,9.0746401274961,4.0614860455719795,0.0,0.0,0,58.31198615998197,9.0746401274961,4.0614860455719795,0.0,0.0,1,58.31198615998197,9.0746401274961,4.0614860455719795,0.0,0.0,0,58.31198615998197,9.0746401274961,4.0614860455719795,0.0,0.0,3,58.31198615998197,9.0746401274961,4.0614860455719795,-73.99542841309459,-44.30200134909061,1,58.31198615998197,9.0746401274961,4.0614860455719795,-65.30855373673914,-29.25718721103713,5,58.31198615998197,9.0746401274961,4.0614860455719795,-84.13595063906949,28.716413142852993,6,58.31198615998197,9.0746401274961,4.0614860455719795,-40.06015562029569,-14.286120937689077,7,58.31198615998197,9.0746401274961,4.0614860455719795,-22.264266601134686,-26.33616111215492,3,58.31198615998197,9.0746401274961,4.0614860455719795,1.6780629722766034,-13.959041454334084
5,60,6,44.93101021485943,0,57.29105552392753,9.356419647466996,3.0892257625970165,0.0,0.0,0,57.29105552392753,9.356419647466996,3.0892257625970165,0.0,0.0,1,57.29105552392753,9.356419647466996,3.0892257625970165,0.0,0.0,0,57.29105552392753,9.356419647466996,3.0892257625970165,0.0,0.0,3,57.29105552392753,9.356419647466996,3.0892257625970165,0.0,0.0,1,57.29105552392753,9.356419647466996,3.0892257625970165,-73.99542841309459,-44.30200134909061,5,57.29105552392753,9.356419647466996,3.0892257625970165,46.01315152126412,5.877514756990086,6,57.29105552392753,9.356419647466996,3.0892257625970165,-22.264266601134686,-26.33616111215492,7,57.29105552392753,9.356419647466996,3.0892257625970165,-83.60630139821544,5.525071378084299,3,57.29105552392753,9.356419647466996,3.0892257625970165,-5.409553422369076,-13.610497624959647
6,70,7,49.293140460727315,0,54.96983645218485,8.234899205035678,0.7589365116013518,0.0,0.0,0,54.96983645218485,8.234899205035678,0.7589365116013518,0.0,0.0,1,54.96983645218485,8.234899205035678,0.7589365116013518,0.0,0.0,0,54.96983645218485,8.234899205035678,0.7589365116013518,0.0,0.0,3,54.96983645218485,8.234899205035678,0.7589365116013518,0.0,0.0,1,54.96983645218485,8.234899205035678,0.7589365116013518,0.0,0.0,5,54.96983645218485,8.234899205035678,0.7589365116013518,-55.35778521412708,-5.417812065592101,6,54.96983645218485,8.234899205035678,0.7589365116013518,48.94522173263451,6.757384009891642,7,54.96983645218485,8.234899205035678,0.7589365116013518,-106.98116116415552,81.52827276365916,3,54.96983645218485,8.234899205035678,0.7589365116013518,-25.379884259467037,-23.14624810666497
7,80,8,53.39224693973333,0,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,0,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,1,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,0,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,3,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,1,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,5,53.44666832966388,7.678226367048783,-1.6456593841456078,0.0,0.0,6,53.44666832966388,7.678226367048783,-1.6456593841456078,-84.13595063906949,28.716413142852993,7,53.44666832966388,7.678226367048783,-1.6456593841456078,37.75323258625481,2.186477042964107,3,53.44666832966388,7.678226367048783,-1.6456593841456078,-79.72539532582599,-35.294226198914835
8,90,9,57.30885318849929,0,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,0,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,1,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,0,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,3,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,3,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,5,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,6,52.599149962637256,8.731711268765721,0.026353264357721094,0.0,0.0,7,52.599149962637256,8.731711268765721,0.026353264357721094,-60.78606928939921,-31.48456306486909,3,52.599149962637256,8.731711268765721,0.026353264357721094,-45.92382010561296,-43.41132762487075
9,100,10,61.17633839904364,0,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,0,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,1,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,0,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,3,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,3,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,5,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,6,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,7,49.382145917379894,8.040439901786836,-3.3825556106103027,0.0,0.0,3,49.382145917379894,8.040439901786836,-3.3825556106103027,-83.87112601864247,17.120742260468646
10,110,11,64.86062271326085,0,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,0,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,1,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,0,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,3,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,3,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,5,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,6,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,7,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0,3,47.562920226594905,7.524554455683141,-1.2645527718350666,0.0,0.0
11,120,12,68.12549087596356,0,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,0,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,1,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,0,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,3,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,3,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,5,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,6,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,7,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0,3,45.77173125723736,6.912687454082631,-4.129451719866828,0.0,0.0
12,130,13,71.1783823546187,0,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,0,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,1,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,0,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,3,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,3,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,5,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,6,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,7,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0,3,41.51445048714809,3.996145665684414,-32.083148356331975,0.0,0.0
13,140,14,74.16324013014314,0,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,0,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,1,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,0,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,3,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,3,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,0,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,6,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,7,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0,3,40.19401390506157,3.0717791155598753,-55.06714254180145,0.0,0.0
14,150,15,76.83839630324339,0,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,0,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,1,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,0,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,3,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,3,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,5,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,6,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,7,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0,3,37.630019206292005,4.043790299845125,58.378839796793415,0.0,0.0
15,160,16,79.32207070056756,0,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,0,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,1,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,0,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,3,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,3,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,5,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,6,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,7,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0,3,29.362224703874578,1.863650631559053,2.12896330460705,0.0,0.0
